term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
soldat,15,éléphant,15,"afrique du sud",donc,soldat,15,"afrique du sud"
homme,15,éléphant,15,"afrique du sud",donc,homme,15,"afrique du sud"
cornac,15,éléphant,15,"afrique du sud",donc,cornac,15,"afrique du sud"
personne,15,éléphant,15,"afrique du sud",donc,personne,15,"afrique du sud"
queue,15,éléphant,15,"afrique du sud",donc,queue,15,"afrique du sud"
trompe,15,éléphant,15,France,donc,trompe,15,France
"pattes d'éléphant",15,éléphant,15,France,donc,"pattes d'éléphant",15,France
soldat,15,éléphant,15,France,donc,soldat,15,France
homme,15,éléphant,15,France,donc,homme,15,France
cornac,15,éléphant,15,France,donc,cornac,15,France
personne,15,éléphant,15,France,donc,personne,15,France
queue,15,éléphant,15,France,donc,queue,15,France
trompe,15,éléphant,15,rizière,donc,trompe,15,rizière
"pattes d'éléphant",15,éléphant,15,rizière,donc,"pattes d'éléphant",15,rizière
soldat,15,éléphant,15,rizière,donc,soldat,15,rizière
homme,15,éléphant,15,rizière,donc,homme,15,rizière
cornac,15,éléphant,15,rizière,donc,cornac,15,rizière
personne,15,éléphant,15,rizière,donc,personne,15,rizière
queue,15,éléphant,15,rizière,donc,queue,15,rizière
trompe,15,éléphant,15,Æthiopie,donc,trompe,15,Æthiopie
"pattes d'éléphant",15,éléphant,15,Æthiopie,donc,"pattes d'éléphant",15,Æthiopie
soldat,15,éléphant,15,Æthiopie,donc,soldat,15,Æthiopie
homme,15,éléphant,15,Æthiopie,donc,homme,15,Æthiopie
cornac,15,éléphant,15,Æthiopie,donc,cornac,15,Æthiopie
personne,15,éléphant,15,Æthiopie,donc,personne,15,Æthiopie
queue,15,éléphant,15,Æthiopie,donc,queue,15,Æthiopie
peuple,15,révolution,15,France,donc,peuple,15,France
indépendance,15,révolution,15,France,donc,indépendance,15,France
peuple,15,révolution,15,monde,donc,peuple,15,monde
indépendance,15,révolution,15,monde,donc,indépendance,15,monde
peuple,15,révolution,15,Amérique,donc,peuple,15,Amérique
indépendance,15,révolution,15,Amérique,donc,indépendance,15,Amérique
peuple,15,révolution,15,rue,donc,peuple,15,rue
indépendance,15,révolution,15,rue,donc,indépendance,15,rue
peuple,15,révolution,15,pays,donc,peuple,15,pays
indépendance,15,révolution,15,pays,donc,indépendance,15,pays
peuple,15,révolution,15,ville,donc,peuple,15,ville
indépendance,15,révolution,15,ville,donc,indépendance,15,ville
luminescence,15,lumière,15,maison,donc,luminescence,15,maison
=luminescence=,15,lumière,15,maison,donc,=luminescence=,15,maison
luminescence,15,lumière,15,soleil,donc,luminescence,15,soleil
=luminescence=,15,lumière,15,soleil,donc,=luminescence=,15,soleil
luminescence,15,lumière,15,lampe,donc,luminescence,15,lampe
=luminescence=,15,lumière,15,lampe,donc,=luminescence=,15,lampe
luminescence,15,lumière,15,lampadaire,donc,luminescence,15,lampadaire
=luminescence=,15,lumière,15,lampadaire,donc,=luminescence=,15,lampadaire
luminescence,15,lumière,15,phare,donc,luminescence,15,phare
=luminescence=,15,lumière,15,phare,donc,=luminescence=,15,phare
luminescence,15,lumière,15,espace,donc,luminescence,15,espace
=luminescence=,15,lumière,15,espace,donc,=luminescence=,15,espace
luminescence,15,lumière,15,galaxie,donc,luminescence,15,galaxie
=luminescence=,15,lumière,15,galaxie,donc,=luminescence=,15,galaxie
luminescence,15,lumière,15,ciel,donc,luminescence,15,ciel
=luminescence=,15,lumière,15,ciel,donc,=luminescence=,15,ciel
luminescence,15,lumière,15,plage,donc,luminescence,15,plage
=luminescence=,15,lumière,15,plage,donc,=luminescence=,15,plage
luminescence,15,lumière,15,vélo,donc,luminescence,15,vélo
=luminescence=,15,lumière,15,vélo,donc,=luminescence=,15,vélo
luminescence,15,lumière,15,girophare,donc,luminescence,15,girophare
=luminescence=,15,lumière,15,girophare,donc,=luminescence=,15,girophare
luminescence,15,lumière,15,"ver luisant",donc,luminescence,15,"ver luisant"
=luminescence=,15,lumière,15,"ver luisant",donc,=luminescence=,15,"ver luisant"
luminescence,15,lumière,15,clairière,donc,luminescence,15,clairière
=luminescence=,15,lumière,15,clairière,donc,=luminescence=,15,clairière
luminescence,15,lumière,15,luciole,donc,luminescence,15,luciole
=luminescence=,15,lumière,15,luciole,donc,=luminescence=,15,luciole
luminescence,15,lumière,15,carrousel,donc,luminescence,15,carrousel
=luminescence=,15,lumière,15,carrousel,donc,=luminescence=,15,carrousel
luminescence,15,lumière,15,gyrophare,donc,luminescence,15,gyrophare
=luminescence=,15,lumière,15,gyrophare,donc,=luminescence=,15,gyrophare
luminescence,15,lumière,15,organe,donc,luminescence,15,organe
=luminescence=,15,lumière,15,organe,donc,=luminescence=,15,organe
luminescence,15,lumière,15,cave,donc,luminescence,15,cave
=luminescence=,15,lumière,15,cave,donc,=luminescence=,15,cave
communication,15,téléphone,15,bureau,donc,communication,15,bureau
fil,15,téléphone,15,bureau,donc,fil,15,bureau
ligne,15,téléphone,15,bureau,donc,ligne,15,bureau
bis,15,téléphone,15,bureau,donc,bis,15,bureau
client,15,téléphone,15,bureau,donc,client,15,bureau
divorce,15,téléphone,15,bureau,donc,divorce,15,bureau
communication,15,téléphone,15,rue,donc,communication,15,rue
fil,15,téléphone,15,rue,donc,fil,15,rue
ligne,15,téléphone,15,rue,donc,ligne,15,rue
bis,15,téléphone,15,rue,donc,bis,15,rue
client,15,téléphone,15,rue,donc,client,15,rue
divorce,15,téléphone,15,rue,donc,divorce,15,rue
communication,15,téléphone,15,voiture,donc,communication,15,voiture
fil,15,téléphone,15,voiture,donc,fil,15,voiture
ligne,15,téléphone,15,voiture,donc,ligne,15,voiture
bis,15,téléphone,15,voiture,donc,bis,15,voiture
client,15,téléphone,15,voiture,donc,client,15,voiture
divorce,15,téléphone,15,voiture,donc,divorce,15,voiture
communication,15,téléphone,15,maison,donc,communication,15,maison
fil,15,téléphone,15,maison,donc,fil,15,maison
ligne,15,téléphone,15,maison,donc,ligne,15,maison
bis,15,téléphone,15,maison,donc,bis,15,maison
client,15,téléphone,15,maison,donc,client,15,maison
divorce,15,téléphone,15,maison,donc,divorce,15,maison
communication,15,téléphone,15,chambre,donc,communication,15,chambre
fil,15,téléphone,15,chambre,donc,fil,15,chambre
ligne,15,téléphone,15,chambre,donc,ligne,15,chambre
bis,15,téléphone,15,chambre,donc,bis,15,chambre
client,15,téléphone,15,chambre,donc,client,15,chambre
divorce,15,téléphone,15,chambre,donc,divorce,15,chambre
électricité,15,fil,15,téléphone,donc,électricité,15,téléphone
communication,15,téléphone,15,poche,donc,communication,15,poche
fil,15,téléphone,15,poche,donc,fil,15,poche
ligne,15,téléphone,15,poche,donc,ligne,15,poche
bis,15,téléphone,15,poche,donc,bis,15,poche
client,15,téléphone,15,poche,donc,client,15,poche
divorce,15,téléphone,15,poche,donc,divorce,15,poche
communication,15,téléphone,15,sac,donc,communication,15,sac
fil,15,téléphone,15,sac,donc,fil,15,sac
ligne,15,téléphone,15,sac,donc,ligne,15,sac
bis,15,téléphone,15,sac,donc,bis,15,sac
client,15,téléphone,15,sac,donc,client,15,sac
divorce,15,téléphone,15,sac,donc,divorce,15,sac
communication,15,téléphone,15,cabine,donc,communication,15,cabine
fil,15,téléphone,15,cabine,donc,fil,15,cabine
