term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
chambardement,42,révolution,42,tension,donc,chambardement,42,tension
"saison estivale",42,révolution,42,tension,donc,"saison estivale",42,tension
"crise humanitaire",42,révolution,42,tension,donc,"crise humanitaire",42,tension
délivrance,42,révolution,42,tension,donc,délivrance,42,tension
abolition,42,révolution,42,tension,donc,abolition,42,tension
"nouvelle politique économique",42,révolution,42,tension,donc,"nouvelle politique économique",42,tension
NEP,42,révolution,42,tension,donc,NEP,42,tension
"Nouvelle politique économique",42,révolution,42,tension,donc,"Nouvelle politique économique",42,tension
"faire jour",42,révolution,42,tension,donc,"faire jour",42,tension
"faire nuit",42,révolution,42,tension,donc,"faire nuit",42,tension
printemps,42,révolution,42,tension,donc,printemps,42,tension
démocratie,42,révolution,42,dictature,donc,démocratie,42,dictature
changement,42,révolution,42,dictature,donc,changement,42,dictature
"prisonnier politique",42,révolution,42,dictature,donc,"prisonnier politique",42,dictature
"acte de violence",42,révolution,42,dictature,donc,"acte de violence",42,dictature
chambardement,42,révolution,42,dictature,donc,chambardement,42,dictature
"saison estivale",42,révolution,42,dictature,donc,"saison estivale",42,dictature
"crise humanitaire",42,révolution,42,dictature,donc,"crise humanitaire",42,dictature
délivrance,42,révolution,42,dictature,donc,délivrance,42,dictature
abolition,42,révolution,42,dictature,donc,abolition,42,dictature
"nouvelle politique économique",42,révolution,42,dictature,donc,"nouvelle politique économique",42,dictature
NEP,42,révolution,42,dictature,donc,NEP,42,dictature
"Nouvelle politique économique",42,révolution,42,dictature,donc,"Nouvelle politique économique",42,dictature
"faire jour",42,révolution,42,dictature,donc,"faire jour",42,dictature
"faire nuit",42,révolution,42,dictature,donc,"faire nuit",42,dictature
printemps,42,révolution,42,dictature,donc,printemps,42,dictature
démocratie,42,révolution,42,révolte,donc,démocratie,42,révolte
changement,42,révolution,42,révolte,donc,changement,42,révolte
"prisonnier politique",42,révolution,42,révolte,donc,"prisonnier politique",42,révolte
"acte de violence",42,révolution,42,révolte,donc,"acte de violence",42,révolte
chambardement,42,révolution,42,révolte,donc,chambardement,42,révolte
"saison estivale",42,révolution,42,révolte,donc,"saison estivale",42,révolte
"crise humanitaire",42,révolution,42,révolte,donc,"crise humanitaire",42,révolte
délivrance,42,révolution,42,révolte,donc,délivrance,42,révolte
abolition,42,révolution,42,révolte,donc,abolition,42,révolte
"nouvelle politique économique",42,révolution,42,révolte,donc,"nouvelle politique économique",42,révolte
NEP,42,révolution,42,révolte,donc,NEP,42,révolte
